ticket_id,customer_id,issue_type,priority,created_date,resolution_status,resolution_time_hours,satisfaction_rating,channel
TICK_00056,CUST_01449,Billing,Medium,2025-04-27,In Progress,53.1,,In-App
TICK_00057,CUST_08762,Technical,Medium,2024-11-10,In Progress,2.1,1.0,In-App
TICK_00058,CUST_05754,Billing,High,2024-12-03,In Progress,9.4,4.0,Chat
TICK_00059,CUST_09542,Product Inquiry,Medium,2025-07-11,Resolved,23.9,3.0,Email
TICK_00060,CUST_05070,Complaint,Critical,2024-04-28,Escalated,2.0,,In-App
TICK_00061,CUST_01535,Billing,Low,2024-03-22,Resolved,2.7,1.0,Phone
TICK_00062,CUST_00923,Complaint,Low,2025-08-27,Resolved,39.2,5.0,Email
TICK_00063,CUST_03944,Complaint,Medium,2024-01-06,Escalated,16.4,,Chat
TICK_00064,CUST_03925,Billing,Low,2024-09-02,Closed,11.7,5.0,In-App
TICK_00065,CUST_05948,Complaint,Medium,2024-08-23,Closed,16.9,5.0,Chat
TICK_00066,CUST_06783,Billing,Medium,2024-06-01,Escalated,129.1,,Chat
TICK_00067,CUST_01285,Billing,Medium,2025-04-08,Escalated,24.5,3.0,In-App
TICK_00068,CUST_04375,Product Inquiry,Medium,2025-01-25,In Progress,38.0,5.0,In-App
TICK_00069,CUST_01837,Technical,Low,2024-02-22,Resolved,34.1,2.0,Email
TICK_00070,CUST_05587,Product Inquiry,Low,2025-02-20,Closed,6.8,,Phone
TICK_00071,CUST_03694,Feature Request,Medium,2024-03-09,Closed,17.1,3.0,Chat
TICK_00072,CUST_05330,Billing,Medium,2024-01-23,Closed,16.6,1.0,Email
TICK_00073,CUST_00484,Billing,Medium,2024-05-29,In Progress,0.2,5.0,Phone
TICK_00074,CUST_06421,Technical,Low,2024-05-17,Closed,59.5,,In-App
TICK_00075,CUST_05173,Billing,Medium,2025-04-30,Resolved,6.8,2.0,Phone
TICK_00076,CUST_09965,Product Inquiry,High,2024-06-27,In Progress,52.8,5.0,Email
TICK_00077,CUST_05070,Feature Request,Low,2024-08-14,Escalated,10.5,4.0,Chat
TICK_00078,CUST_00389,Feature Request,Medium,2025-03-28,In Progress,5.6,,Email
TICK_00079,CUST_00318,Technical,Low,2023-12-08,Escalated,5.4,,In-App
TICK_00080,CUST_08294,Technical,High,2024-06-09,Closed,31.2,,Phone
TICK_00081,CUST_00837,Technical,Medium,2024-03-10,In Progress,33.5,3.0,Phone
TICK_00082,CUST_03531,Complaint,Medium,2024-05-05,In Progress,41.7,4.0,Phone
TICK_00083,CUST_03356,Product Inquiry,Low,2024-09-03,Resolved,44.2,,In-App
TICK_00084,CUST_05565,Product Inquiry,Medium,2025-06-24,Escalated,15.7,,Phone
TICK_00085,CUST_06225,Product Inquiry,Medium,2025-04-28,Closed,49.2,5.0,Email
TICK_00086,CUST_09290,Complaint,Medium,2024-02-16,Closed,26.7,,In-App
TICK_00087,CUST_01371,Technical,Low,2024-12-31,In Progress,1.0,,Phone
TICK_00088,CUST_02987,Feature Request,Low,2025-02-28,Resolved,40.8,3.0,Phone
TICK_00089,CUST_05964,Feature Request,Low,2025-01-28,In Progress,27.6,,Chat
TICK_00090,CUST_05962,Complaint,Low,2024-07-29,Closed,44.4,,Email
TICK_00091,CUST_03092,Complaint,Medium,2024-11-18,Resolved,31.3,,Email
TICK_00092,CUST_06542,Technical,Medium,2023-10-06,In Progress,4.8,,Chat
TICK_00093,CUST_00334,Complaint,Low,2024-02-05,Resolved,0.7,5.0,Phone
TICK_00094,CUST_04058,Technical,Low,2024-05-21,Escalated,58.7,,Email
TICK_00095,CUST_02517,Complaint,Low,2025-09-14,Escalated,1.8,,In-App
TICK_00096,CUST_04344,Product Inquiry,Low,2025-01-13,Resolved,2.6,,Chat
TICK_00097,CUST_07900,Technical,Critical,2024-12-06,Escalated,6.4,,Email
TICK_00098,CUST_06449,Technical,Low,2024-11-12,Resolved,3.7,2.0,In-App
TICK_00099,CUST_06852,Product Inquiry,Low,2024-06-04,Resolved,6.2,,Chat
TICK_00100,CUST_05588,Product Inquiry,Low,2024-08-24,Closed,18.0,1.0,Email
TICK_00101,CUST_04342,Product Inquiry,Low,2025-04-15,In Progress,15.1,,In-App
TICK_00102,CUST_00768,Technical,Low,2024-08-01,Closed,33.3,2.0,Phone
TICK_00103,CUST_04064,Technical,Low,2025-05-06,Closed,2.3,,Phone
TICK_00104,CUST_09796,Billing,Low,2025-01-01,Escalated,47.5,4.0,Phone
TICK_00105,CUST_01739,Feature Request,Medium,2024-02-13,Escalated,9.2,,Email
TICK_00106,CUST_01055,Complaint,Medium,2023-12-17,Escalated,0.2,,In-App
TICK_00107,CUST_05196,Billing,High,2025-07-09,In Progress,10.3,5.0,Phone
TICK_00108,CUST_06798,Product Inquiry,Low,2025-02-05,Closed,29.4,5.0,Phone
TICK_00109,CUST_02619,Technical,Medium,2025-03-06,In Progress,12.5,1.0,Chat
TICK_00110,CUST_04151,Complaint,Medium,2025-06-14,Escalated,6.2,,Phone
TICK_00111,CUST_06541,Billing,Medium,2024-08-10,Escalated,11.9,1.0,Phone
TICK_00112,CUST_00921,Billing,Medium,2025-07-27,Closed,33.6,2.0,Phone
TICK_00113,CUST_02195,Product Inquiry,High,2025-02-01,In Progress,47.6,,Email
TICK_00114,CUST_03309,Feature Request,Low,2024-02-06,In Progress,46.1,5.0,Email
TICK_00115,CUST_04134,Product Inquiry,High,2025-01-20,Escalated,33.7,3.0,Email
TICK_00116,CUST_08235,Technical,Low,2025-02-11,In Progress,12.2,,Phone
TICK_00117,CUST_06856,Billing,Medium,2024-02-29,Closed,45.4,4.0,Phone
TICK_00118,CUST_02563,Billing,Low,2023-10-29,Closed,13.2,1.0,Phone
TICK_00119,CUST_05686,Technical,Low,2025-06-02,Escalated,64.0,5.0,Chat
TICK_00120,CUST_03447,Billing,Low,2024-10-14,Escalated,3.4,3.0,In-App
TICK_00121,CUST_01484,Feature Request,Low,2024-11-15,Closed,2.1,,Phone
TICK_00122,CUST_07430,Product Inquiry,Medium,2025-08-30,Closed,30.1,4.0,Chat
TICK_00123,CUST_09822,Complaint,Low,2024-02-23,Closed,21.2,2.0,Phone
TICK_00124,CUST_05975,Feature Request,Medium,2025-01-25,Resolved,17.8,3.0,In-App
TICK_00125,CUST_06357,Feature Request,Medium,2024-07-21,Escalated,13.4,4.0,In-App
TICK_00126,CUST_01569,Technical,High,2025-05-07,Resolved,49.3,,Chat
TICK_00127,CUST_08219,Complaint,Low,2025-05-05,Resolved,53.1,2.0,In-App
TICK_00128,CUST_01257,Product Inquiry,Low,2024-05-07,Resolved,7.2,,Email
TICK_00129,CUST_09398,Billing,Low,2024-10-25,In Progress,52.0,,Email
TICK_00130,CUST_05353,Complaint,Low,2025-03-23,Escalated,13.7,,Phone
TICK_00131,CUST_08517,Billing,Medium,2024-09-06,In Progress,12.0,,Chat
TICK_00132,CUST_04100,Complaint,Medium,2024-06-16,In Progress,1.9,,Email
TICK_00133,CUST_05425,Complaint,High,2025-05-03,Resolved,18.2,5.0,Chat
TICK_00134,CUST_09143,Complaint,Low,2024-02-03,Resolved,4.0,5.0,Chat
TICK_00135,CUST_03430,Technical,Low,2024-08-05,In Progress,105.6,5.0,Email
TICK_00136,CUST_09603,Complaint,Low,2024-09-01,Resolved,15.3,1.0,In-App
TICK_00137,CUST_05938,Product Inquiry,Low,2025-04-27,In Progress,0.8,,In-App
TICK_00138,CUST_03961,Product Inquiry,Low,2025-02-04,Closed,76.8,1.0,Phone
TICK_00139,CUST_09810,Billing,High,2025-01-18,Resolved,135.9,,In-App
TICK_00140,CUST_05083,Product Inquiry,High,2024-05-18,Closed,11.7,,Email
TICK_00141,CUST_06948,Billing,Medium,2024-01-10,Resolved,36.5,,Chat
TICK_00142,CUST_04455,Feature Request,High,2024-01-29,In Progress,4.5,,Chat
TICK_00143,CUST_07486,Feature Request,Medium,2024-11-10,Resolved,32.6,,Chat
TICK_00144,CUST_07550,Product Inquiry,Low,2023-12-17,Resolved,6.3,3.0,Phone
TICK_00145,CUST_08065,Feature Request,Low,2024-03-12,In Progress,19.9,,Phone
TICK_00146,CUST_02049,Product Inquiry,Low,2024-09-22,Closed,1.9,3.0,In-App
TICK_00147,CUST_03608,Feature Request,Low,2024-08-17,Escalated,5.1,5.0,In-App
TICK_00148,CUST_03983,Feature Request,High,2025-08-11,Resolved,82.6,4.0,Phone
TICK_00149,CUST_01144,Complaint,Low,2025-03-24,Resolved,34.4,3.0,Phone
TICK_00150,CUST_06939,Complaint,Medium,2025-02-27,Escalated,0.3,5.0,In-App
TICK_00151,CUST_08091,Complaint,Medium,2025-03-16,Resolved,26.9,5.0,In-App
TICK_00152,CUST_02889,Feature Request,Medium,2023-12-05,Escalated,12.9,,Chat
TICK_00153,CUST_08225,Feature Request,Low,2025-08-03,Resolved,1.3,,In-App
TICK_00154,CUST_05742,Complaint,Medium,2025-05-12,Escalated,7.6,5.0,In-App
TICK_00155,CUST_03596,Billing,Medium,2024-11-13,Escalated,79.4,5.0,Chat
TICK_00156,CUST_04025,Product Inquiry,Low,2025-08-01,Escalated,3.6,,Email
TICK_00157,CUST_02336,Feature Request,Medium,2025-04-26,Closed,31.4,1.0,In-App
TICK_00158,CUST_08579,Billing,Low,2024-06-01,In Progress,104.1,,Chat
TICK_00159,CUST_06653,Billing,Low,2024-04-04,In Progress,25.9,,Chat
TICK_00160,CUST_02583,Technical,Low,2023-09-30,Resolved,77.5,,Chat
TICK_00161,CUST_06434,Complaint,Low,2024-05-13,In Progress,21.8,3.0,In-App
TICK_00162,CUST_09699,Product Inquiry,Medium,2024-03-12,Closed,42.7,,Email
TICK_00163,CUST_07221,Complaint,Medium,2023-12-19,Closed,41.1,,Email
TICK_00164,CUST_01293,Feature Request,Low,2025-02-23,Escalated,22.1,4.0,Email
TICK_00165,CUST_04760,Technical,Low,2025-05-27,Resolved,111.3,,In-App
TICK_00166,CUST_05415,Technical,Medium,2024-06-23,Closed,52.5,2.0,Chat
TICK_00167,CUST_03966,Technical,Medium,2025-05-06,Closed,11.7,,Email
TICK_00168,CUST_03276,Technical,Medium,2024-09-05,Escalated,45.0,,Email
TICK_00169,CUST_00944,Billing,Low,2025-09-16,Resolved,2.2,,In-App
TICK_00170,CUST_04802,Complaint,Low,2024-09-24,In Progress,13.4,3.0,Chat
TICK_00171,CUST_01089,Complaint,Medium,2024-08-15,Resolved,15.6,5.0,Email
TICK_00172,CUST_07523,Billing,High,2025-06-12,Escalated,33.1,4.0,Phone
TICK_00173,CUST_05081,Billing,Medium,2024-10-15,In Progress,8.9,5.0,Email
TICK_00174,CUST_07021,Feature Request,Medium,2025-03-03,Resolved,53.5,3.0,Chat
TICK_00175,CUST_05547,Technical,Medium,2025-10-05,Escalated,8.3,2.0,Chat
TICK_00176,CUST_08491,Complaint,Medium,2024-01-15,In Progress,3.9,,Chat
TICK_00177,CUST_04519,Technical,High,2024-04-25,In Progress,55.8,,Email
TICK_00178,CUST_06625,Complaint,High,2024-07-10,Resolved,36.1,,In-App
TICK_00179,CUST_01089,Complaint,Low,2024-04-01,Closed,17.5,3.0,Phone
TICK_00180,CUST_09232,Technical,Low,2024-02-02,Closed,5.5,5.0,Chat
TICK_00181,CUST_06629,Complaint,Low,2025-05-10,In Progress,3.6,,Chat
TICK_00182,CUST_05094,Technical,High,2024-12-10,Resolved,0.2,5.0,Email
TICK_00183,CUST_09572,Complaint,Low,2025-01-27,Closed,15.8,1.0,Email
TICK_00184,CUST_02057,Product Inquiry,Medium,2025-05-28,In Progress,3.6,2.0,Phone
TICK_00185,CUST_04944,Complaint,Low,2024-09-05,In Progress,14.8,,In-App
TICK_00186,CUST_07688,Feature Request,Medium,2025-04-10,Resolved,16.2,5.0,Chat
TICK_00187,CUST_08185,Billing,Low,2025-03-17,Escalated,0.1,,Email
TICK_00188,CUST_04485,Technical,Medium,2024-01-19,Resolved,10.3,4.0,Phone
TICK_00189,CUST_09169,Complaint,Medium,2024-02-01,Resolved,6.6,4.0,Phone
TICK_00190,CUST_07789,Billing,Low,2025-05-31,Closed,12.0,,Chat
TICK_00191,CUST_02126,Technical,Critical,2024-07-09,Escalated,21.7,,Phone
TICK_00192,CUST_00711,Product Inquiry,Low,2024-10-19,Closed,1.8,,Email
TICK_00193,CUST_03150,Complaint,Low,2024-10-10,Closed,28.1,,In-App
TICK_00194,CUST_00643,Feature Request,Medium,2023-12-21,Resolved,10.0,5.0,Phone
TICK_00195,CUST_03893,Complaint,Medium,2024-10-01,Escalated,4.2,,Phone
TICK_00196,CUST_07871,Product Inquiry,Low,2025-03-12,Escalated,21.2,1.0,Phone
TICK_00197,CUST_00472,Technical,Low,2025-07-22,Escalated,3.8,3.0,In-App
TICK_00198,CUST_09319,Product Inquiry,Medium,2023-10-06,Escalated,4.9,5.0,In-App
TICK_00199,CUST_00315,Product Inquiry,Low,2024-11-02,Escalated,91.6,1.0,In-App
TICK_00200,CUST_05312,Feature Request,High,2024-04-09,Resolved,26.0,1.0,Email
TICK_00201,CUST_02448,Billing,Low,2024-09-05,Escalated,15.8,5.0,Chat
TICK_00202,CUST_05356,Complaint,Low,2024-12-03,In Progress,1.0,1.0,Chat
TICK_00203,CUST_06388,Product Inquiry,High,2024-05-03,Escalated,38.0,5.0,Phone
TICK_00204,CUST_09090,Product Inquiry,Low,2025-01-12,Closed,31.2,5.0,In-App
TICK_00205,CUST_03378,Complaint,Medium,2023-11-02,Escalated,10.2,3.0,Email
TICK_00206,CUST_01393,Feature Request,High,2025-06-26,Closed,4.7,4.0,Email
TICK_00207,CUST_00557,Complaint,Low,2025-07-28,Resolved,7.5,,Phone
TICK_00208,CUST_06895,Billing,Low,2024-02-01,Closed,24.6,,Phone
TICK_00209,CUST_07481,Technical,Medium,2024-09-12,Escalated,123.4,3.0,Phone
TICK_00210,CUST_05880,Product Inquiry,Low,2025-02-28,Escalated,36.2,,Chat
TICK_00211,CUST_08430,Feature Request,High,2024-07-30,Escalated,3.3,2.0,In-App
TICK_00212,CUST_03829,Technical,Low,2025-01-01,Closed,15.1,,In-App
TICK_00213,CUST_00739,Billing,Low,2024-01-07,In Progress,26.3,,Phone
TICK_00214,CUST_03785,Product Inquiry,High,2023-10-25,Resolved,106.9,,Email
TICK_00215,CUST_08754,Technical,Medium,2024-06-02,Closed,1.8,4.0,In-App
TICK_00216,CUST_06931,Feature Request,Medium,2023-10-11,Escalated,20.8,1.0,Email
TICK_00217,CUST_05863,Feature Request,Low,2024-03-27,Escalated,43.0,1.0,Phone
TICK_00218,CUST_05042,Feature Request,High,2025-07-01,Escalated,2.0,3.0,Email
TICK_00219,CUST_09011,Technical,Low,2024-09-20,Closed,33.8,,In-App
TICK_00220,CUST_03502,Technical,Medium,2024-05-30,Resolved,79.8,,Chat
TICK_00221,CUST_06150,Complaint,Low,2024-09-14,Resolved,10.5,5.0,In-App
TICK_00222,CUST_03650,Product Inquiry,Low,2025-10-29,Resolved,8.2,,Phone
TICK_00223,CUST_08008,Billing,Low,2025-08-17,In Progress,30.7,,Phone
TICK_00224,CUST_04997,Feature Request,Low,2025-03-24,Closed,30.0,,Phone
TICK_00225,CUST_01290,Technical,Medium,2025-05-24,Escalated,0.4,1.0,Phone
TICK_00226,CUST_09362,Billing,Low,2025-05-18,Resolved,12.1,,In-App
TICK_00227,CUST_08048,Product Inquiry,Medium,2024-01-29,In Progress,32.9,2.0,In-App
TICK_00228,CUST_09104,Complaint,High,2025-08-08,In Progress,17.7,4.0,Phone
TICK_00229,CUST_06716,Technical,Low,2025-04-13,Resolved,69.2,,Email
TICK_00230,CUST_09529,Complaint,Medium,2025-09-17,In Progress,19.1,,In-App
TICK_00231,CUST_03797,Billing,Low,2024-05-12,Escalated,10.5,4.0,Email
TICK_00232,CUST_09315,Technical,Medium,2024-10-20,Resolved,1.3,,In-App
TICK_00233,CUST_01648,Complaint,Low,2025-01-05,Resolved,21.4,1.0,Chat
TICK_00234,CUST_02922,Feature Request,High,2023-10-28,In Progress,37.5,4.0,Phone
TICK_00235,CUST_09747,Feature Request,Medium,2024-12-10,Closed,0.1,,Chat
TICK_00236,CUST_08875,Complaint,High,2024-12-22,Resolved,8.6,5.0,Phone
TICK_00237,CUST_05627,Complaint,Medium,2023-12-05,In Progress,0.3,,Chat
TICK_00238,CUST_06524,Billing,Medium,2025-03-01,Resolved,36.9,5.0,Phone
TICK_00239,CUST_07797,Complaint,High,2024-11-09,Resolved,14.7,1.0,Email
TICK_00240,CUST_07387,Feature Request,Low,2023-07-28,In Progress,15.5,,Chat
TICK_00241,CUST_03275,Feature Request,Medium,2025-08-14,Closed,3.6,5.0,In-App
TICK_00242,CUST_02592,Complaint,Low,2025-03-19,Escalated,3.0,5.0,Phone
TICK_00243,CUST_05552,Feature Request,High,2023-09-25,Resolved,4.9,,Email
TICK_00244,CUST_02301,Complaint,Medium,2025-05-28,In Progress,13.7,1.0,Phone
TICK_00245,CUST_01654,Product Inquiry,High,2025-02-04,In Progress,1.9,3.0,Phone
TICK_00246,CUST_06256,Product Inquiry,High,2023-11-16,Closed,73.9,,Chat
TICK_00247,CUST_02926,Feature Request,Medium,2024-01-23,Closed,16.0,4.0,Chat
TICK_00248,CUST_00070,Technical,Critical,2023-06-17,Resolved,1.1,,Phone
TICK_00249,CUST_05157,Product Inquiry,Medium,2025-05-25,In Progress,2.7,5.0,Chat
TICK_00250,CUST_03937,Billing,Low,2025-05-10,Closed,67.3,5.0,Email
TICK_00251,CUST_02967,Feature Request,Low,2024-12-19,Escalated,10.1,,Chat
TICK_00252,CUST_01912,Billing,High,2025-01-11,Escalated,7.9,,Phone
TICK_00253,CUST_05571,Technical,High,2024-07-20,Resolved,0.9,2.0,Phone
TICK_00254,CUST_01636,Technical,Medium,2025-06-16,Resolved,14.0,5.0,In-App
TICK_00255,CUST_06766,Technical,Low,2025-06-29,Closed,33.7,,In-App
TICK_00256,CUST_06608,Product Inquiry,Critical,2024-05-11,Closed,10.4,,Email
TICK_00257,CUST_01516,Complaint,Medium,2024-02-23,Resolved,8.2,3.0,Chat
TICK_00258,CUST_02632,Complaint,High,2024-07-31,Escalated,22.3,,Email
TICK_00259,CUST_04437,Product Inquiry,Medium,2023-12-23,Escalated,68.6,3.0,Phone
TICK_00260,CUST_01672,Billing,Critical,2024-12-07,Closed,15.2,,Phone
TICK_00261,CUST_05604,Technical,Medium,2025-06-13,Escalated,49.0,2.0,In-App
TICK_00262,CUST_00870,Complaint,Low,2024-02-18,Resolved,2.3,3.0,Phone
TICK_00263,CUST_07233,Product Inquiry,Low,2025-03-11,Closed,33.5,2.0,Email
TICK_00264,CUST_04111,Feature Request,Medium,2024-07-08,Resolved,11.9,2.0,Phone
TICK_00265,CUST_03871,Feature Request,High,2024-02-25,Closed,20.5,5.0,In-App
TICK_00266,CUST_03803,Feature Request,High,2024-05-10,Closed,20.2,3.0,Email
TICK_00267,CUST_07114,Technical,Low,2025-04-21,Escalated,12.7,,Chat
TICK_00268,CUST_04526,Product Inquiry,Low,2024-01-04,Escalated,22.5,,In-App
TICK_00269,CUST_05083,Technical,Low,2024-03-02,Resolved,3.4,,Phone
TICK_00270,CUST_04464,Complaint,Critical,2024-09-29,Resolved,24.2,,Chat
TICK_00271,CUST_00501,Product Inquiry,Low,2024-12-21,Escalated,24.0,3.0,Email
TICK_00272,CUST_08614,Feature Request,Low,2025-04-23,Closed,15.9,2.0,Email
TICK_00273,CUST_02860,Feature Request,Low,2024-11-08,Closed,47.9,,Chat
TICK_00274,CUST_06161,Billing,Medium,2024-10-01,Escalated,9.1,3.0,Phone
TICK_00275,CUST_05142,Technical,Critical,2024-06-01,Escalated,98.7,,In-App
TICK_00276,CUST_06508,Technical,High,2025-06-28,Escalated,54.3,2.0,Chat
TICK_00277,CUST_00242,Complaint,Low,2024-02-27,In Progress,1.8,3.0,In-App
TICK_00278,CUST_04861,Technical,Critical,2024-03-07,Resolved,27.4,2.0,Phone
TICK_00279,CUST_00374,Complaint,Medium,2024-09-24,Closed,9.5,5.0,Chat
TICK_00280,CUST_01296,Technical,Medium,2023-12-10,Resolved,70.7,,Phone
TICK_00281,CUST_09805,Product Inquiry,Low,2025-03-15,Escalated,29.8,,Chat
TICK_00282,CUST_05230,Billing,Medium,2025-03-20,Escalated,6.4,,Chat
TICK_00283,CUST_00055,Billing,Medium,2025-03-30,Escalated,44.5,3.0,Phone
TICK_00284,CUST_00551,Complaint,Low,2025-05-26,Escalated,28.1,,In-App
TICK_00285,CUST_04729,Complaint,Critical,2024-08-22,Resolved,21.3,,In-App
TICK_00286,CUST_01312,Technical,Low,2023-11-18,Closed,12.8,,Phone
TICK_00287,CUST_01267,Product Inquiry,Medium,2024-11-20,Resolved,39.9,,Phone
TICK_00288,CUST_04844,Product Inquiry,Low,2024-12-07,Resolved,16.8,,Email
TICK_00289,CUST_09483,Technical,Medium,2024-07-15,Resolved,37.0,3.0,Chat
TICK_00290,CUST_06344,Technical,Low,2024-11-24,Closed,5.1,,In-App
TICK_00291,CUST_08126,Billing,Low,2024-09-12,Resolved,12.8,,Phone
TICK_00292,CUST_01013,Product Inquiry,High,2024-01-14,In Progress,8.6,3.0,Phone
TICK_00293,CUST_04038,Technical,High,2024-03-11,Resolved,6.7,,Phone
TICK_00294,CUST_02639,Product Inquiry,Medium,2024-12-26,Resolved,15.5,,Phone
TICK_00295,CUST_09670,Complaint,Low,2024-06-23,In Progress,1.0,3.0,Chat
TICK_00296,CUST_04583,Billing,Low,2025-01-19,In Progress,23.6,2.0,Email
TICK_00297,CUST_03448,Product Inquiry,High,2025-05-10,Escalated,13.7,1.0,In-App
TICK_00298,CUST_02059,Complaint,Medium,2024-11-15,Closed,64.0,,Chat
TICK_00299,CUST_08890,Product Inquiry,Critical,2024-03-18,In Progress,37.4,,Phone
TICK_00300,CUST_07914,Product Inquiry,High,2024-06-15,In Progress,2.5,,In-App
TICK_00301,CUST_08864,Feature Request,Medium,2024-09-14,In Progress,21.3,3.0,Phone
TICK_00302,CUST_04695,Complaint,Medium,2024-09-02,In Progress,30.6,,Phone
TICK_00303,CUST_05000,Billing,Medium,2025-09-02,Closed,12.2,2.0,Phone
TICK_00304,CUST_03029,Billing,Low,2025-02-16,Closed,10.9,,Email
TICK_00305,CUST_09027,Complaint,Low,2025-04-10,Resolved,11.9,,Email
TICK_00306,CUST_06364,Technical,Medium,2023-09-25,Closed,4.1,2.0,In-App
TICK_00307,CUST_08401,Technical,Low,2024-07-18,Closed,37.7,2.0,Chat
TICK_00308,CUST_01947,Product Inquiry,Medium,2025-10-15,Closed,2.8,,Phone
TICK_00309,CUST_03387,Product Inquiry,Medium,2024-11-29,Resolved,15.1,,In-App
TICK_00310,CUST_04942,Product Inquiry,Medium,2025-04-02,Closed,0.2,,In-App
